i,RegionName,State,Metro,CountyName,SizeRank,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
6181,New York,NY,New York-Newark-Jersey City,Queens County,1,170477.7778,173200,183566.6667,201341.6667,231933.3333,261858.3333,287583.3333,326325,388375,459875,512766.6667,510666.6667,489216.6667,454616.6667,448625,439250,432216.6667,465200,507958.3333,547691.6667,580654.5455,628250,667258.3333,677950
12447,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,2,157288.8889,159900,173808.3333,193983.3333,218075,244983.3333,284966.6667,349525,449600,545008.3333,604650,577891.6667,485916.6667,417300,408108.3333,382116.6667,379691.6667,443333.3333,493500,534466.6667,581681.8182,629433.3333,675650,692512.5
39051,Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,3,87111.11111,88036.36364,97041.66667,103741.6667,106325,107791.6667,111800,114550,121808.3333,126875,128458.3333,132433.3333,128816.6667,124233.3333,122116.6667,117966.6667,116050,119908.3333,128166.6667,140025,154336.3636,167591.6667,179041.6667,187375
17426,Chicago,IL,Chicago-Naperville-Elgin,Cook County,4,115588.8889,107127.2727,120200,134350,150350,169716.6667,187975,198925,220833.3333,244808.3333,261466.6667,260900,243591.6667,212858.3333,193366.6667,168583.3333,159941.6667,171383.3333,186133.3333,198741.6667,211645.4545,220916.6667,227633.3333,229150
6915,San Antonio,TX,San Antonio-New Braunfels,Bexar County,5,86200,85590.90909,87000,89816.66667,91466.66667,89708.33333,90658.33333,94183.33333,101175,107366.6667,112666.6667,124066.6667,125241.6667,120450,119750,116783.3333,116366.6667,118991.6667,124341.6667,132741.6667,142481.8182,155066.6667,168775,177125
13271,Philadelphia,PA,Philadelphia-Camden-Wilmington,Philadelphia County,6,48055.55556,48536.36364,48908.33333,50316.66667,53000,56241.66667,61066.66667,67850,78750,97816.66667,114050,120508.3333,117541.6667,113550,113358.3333,106641.6667,102108.3333,100633.3333,105600,109533.3333,119118.1818,134816.6667,150000,157937.5
40326,Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,7,89988.88889,94854.54545,101191.6667,108941.6667,117733.3333,125783.3333,132158.3333,139966.6667,154733.3333,209408.3333,248725,236183.3333,193133.3333,143516.6667,120675,106091.6667,116308.3333,146191.6667,162575,175216.6667,194818.1818,212800,232291.6667,243287.5
18959,Las Vegas,NV,Las Vegas-Henderson-Paradise,Clark County,8,125888.8889,126836.3636,129650,132325,138658.3333,146266.6667,157916.6667,173475,237641.6667,296258.3333,308550,284333.3333,221425,156858.3333,133775,121183.3333,122100,150058.3333,174308.3333,187308.3333,203600,227041.6667,260566.6667,276400
54296,San Diego,CA,San Diego-Carlsbad,San Diego County,9,158622.2222,162618.1818,181341.6667,202350,240850,281500,328566.6667,391941.6667,490558.3333,540283.3333,529741.6667,491958.3333,428233.3333,399208.3333,406750,381383.3333,381966.6667,444691.6667,479000,506625,543936.3636,583341.6667,624683.3333,635662.5
38128,Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,10,79177.77778,81481.81818,84725,90225,94591.66667,96708.33333,99550,103833.3333,112525,118400,120950,123441.6667,118950,111433.3333,107075,101108.3333,98750,102175,110116.6667,119366.6667,137118.1818,168375,193450,213837.5
