State,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AK,122117.65,127222.99,136469.61,147944.61,154096.57,162587.75,170687.25,178959.8,194937.25,211940.69,227314.71,239275.49,242513.73,243732.84,247804.9,250972.55,251327.94,252691.67,254674.02,261937.75,263184.49,269741.67,277828.43,283825.0
AL,65888.89,69326.69,72251.87,75736.1,79358.56,82700.45,86700.85,90040.24,95369.21,104662.08,117472.42,122241.67,120776.52,115837.92,114707.65,109179.86,109805.08,115821.79,117879.41,122510.7,130531.5,134325.85,142006.15,148597.26
AR,57633.74,60655.95,63508.41,66214.7,69845.53,73050.38,75109.85,79129.62,85235.98,95698.18,105407.5,108414.17,106177.05,103243.64,106685.59,103342.12,103277.65,105940.38,107867.05,110736.29,115399.67,120959.24,128163.33,134433.07
AZ,92220.45,97080.93,102798.82,108767.04,115918.88,124835.03,132750.44,144596.68,160817.18,210977.88,258704.06,254671.31,221184.59,182433.41,164302.21,152176.62,156599.41,174972.05,186411.65,195417.04,209255.19,222093.36,237781.78,251854.98
CA,183839.27,190044.49,205296.75,228210.36,266003.62,300035.85,331129.31,380075.7,457774.42,541841.82,570078.57,542147.27,463055.94,403713.36,390750.09,368550.46,377150.58,440641.61,490458.22,535957.54,576644.94,615714.27,661176.83,664061.41
CO,134693.52,142322.34,154109.57,172956.05,195899.14,216108.57,227048.1,234186.48,243122.67,261019.57,280637.86,292483.1,286721.38,271828.24,258879.67,244399.43,246270.9,262976.0,283790.86,314013.52,345021.92,370523.76,399148.52,420284.36
CT,159833.12,163536.27,170990.93,183696.9,201342.48,223524.75,249089.54,277243.63,307476.31,345988.56,358657.03,350647.71,333633.66,307853.35,300426.96,286910.78,273503.84,275503.76,279825.25,281576.88,285059.89,289540.03,299870.75,301789.58
DC,112311.11,116972.73,124191.67,135400.0,146225.0,166550.0,199125.0,249191.67,310983.33,370866.67,398983.33,402458.33,381633.33,357341.67,354333.33,353183.33,368841.67,408008.33,443108.33,469458.33,504572.73,542158.33,567950.0,572512.5
DE,54813.54,55236.65,59146.09,61866.93,67076.04,78022.92,87836.2,109672.92,133519.27,163561.98,174488.54,172550.0,159780.47,203429.43,194469.01,187450.0,214935.94,216684.64,224816.93,229497.92,249105.11,261940.89,275039.32,280110.94
FL,98517.29,101420.94,106023.78,113092.56,123144.79,137923.41,154953.83,178068.45,213148.67,274309.1,311042.42,290712.0,240690.96,193595.59,176311.14,163452.87,165821.09,180250.18,198274.31,216033.0,239147.22,260110.0,279386.39,289859.54
GA,69769.59,74212.03,80351.87,87642.05,94553.68,101074.65,106188.92,114238.22,122004.53,147541.96,160262.4,166080.58,160428.3,148699.47,140826.14,126334.44,122365.26,131909.12,142238.25,151422.95,159697.74,169957.37,183725.15,195325.04
HI,164244.0,160973.09,163136.17,169493.67,179001.17,187495.33,205748.33,281714.67,361594.17,467595.17,537184.67,535919.5,494123.5,425878.5,399042.5,381661.67,380294.83,419147.83,457049.83,484307.17,517485.64,549920.83,586901.5,597170.5
IA,58652.12,61568.82,65562.62,69505.09,73598.49,78191.7,82620.25,87650.44,92056.22,100915.7,108177.07,111631.39,112104.82,112132.06,116178.11,114577.64,116034.5,120936.04,124728.88,129709.34,136893.57,142892.14,150220.95,156328.77
ID,74941.25,82568.65,89045.31,91516.48,93816.38,96018.1,96616.48,101618.68,108331.7,152796.93,179935.44,189770.11,185542.72,170663.7,157985.57,145031.23,145509.39,155636.78,166134.39,179495.98,193558.31,209416.57,231583.43,256126.15
IL,113645.18,111588.91,116652.52,125086.58,134280.61,143201.28,152409.96,161717.68,172766.37,187238.7,198645.11,199421.88,187605.01,170721.2,162330.87,150586.93,146101.13,152373.82,159862.24,164610.87,168949.11,174705.41,180912.88,184704.05
IN,77079.05,76603.17,76627.99,79035.7,83841.48,89334.1,92617.55,93900.46,96900.44,103842.48,107583.19,109344.59,109090.69,104648.68,104973.47,104435.52,104703.41,105832.2,107807.75,110570.31,115454.42,122042.64,133659.4,142936.8
KS,46476.2,51999.45,58571.08,62913.98,66289.03,69826.05,72648.09,74219.99,77922.91,82060.84,83622.95,86664.89,87767.67,86270.08,106419.28,104078.23,102921.72,103893.31,107572.54,111362.11,116707.35,122868.94,128621.81,132600.07
KY,64487.59,67432.04,71365.23,75469.83,79175.4,82845.63,86073.45,89781.72,97835.98,103019.2,109395.98,111589.37,111000.98,109834.2,109315.8,108835.69,109206.95,110432.36,112117.13,115505.75,122690.16,130317.59,139393.74,145570.6
LA,44977.86,47141.65,51861.41,57252.25,61087.94,64318.62,67512.0,70174.11,75901.36,80670.98,89410.93,95023.82,98715.78,98834.28,106268.17,107828.49,108566.78,111287.83,117105.14,122374.7,128322.05,133923.58,137344.56,140098.67
MA,155586.15,162341.07,175144.87,194943.93,224064.38,256417.59,288345.9,320641.51,352198.58,379713.01,375985.2,361534.02,338020.79,322941.38,319986.3,308651.76,306533.1,320552.94,337593.01,351214.22,368740.52,394007.68,416745.61,427702.6
MD,136116.02,136963.55,140181.48,146504.37,155966.83,169513.98,190139.76,223816.56,265492.75,325504.54,357011.85,351801.0,318887.85,286875.53,269638.1,255520.46,253625.14,264038.65,274243.08,279234.86,286483.24,297704.87,311567.33,317496.43
ME,72354.54,73270.41,77339.12,84417.01,95416.75,108467.86,121840.14,139953.4,159902.47,185539.2,201382.99,197811.31,185473.81,175282.57,177145.32,173643.2,174433.25,178109.27,182968.45,189140.9,200866.98,213832.31,228500.77,238726.02
MI,74759.72,80689.68,87849.35,95536.08,102746.37,108001.9,111957.77,118411.34,125301.91,131928.26,132877.31,127727.43,115386.7,102732.39,98351.59,94082.07,97467.08,109381.74,120473.5,129839.21,140331.53,150893.35,162526.2,170385.86
MN,79805.51,82914.4,88448.53,98095.27,110796.3,125228.47,138992.31,151919.81,166821.46,178768.46,184077.55,182153.86,169945.09,158006.96,154659.73,147412.81,148501.79,159361.2,169950.78,177919.88,188770.0,201281.15,214270.06,223945.66
MO,79383.84,84265.63,89215.11,93223.11,97832.51,103204.12,108274.24,114103.24,119058.3,128548.63,133849.66,135457.81,132836.75,128225.12,130193.62,127349.57,125213.25,127051.56,132971.89,140836.08,149599.37,157499.11,168267.09,174732.14
MS,39396.36,39529.75,38228.47,38169.47,37802.8,37082.73,37848.47,39110.2,41443.53,55174.47,62749.07,66077.47,64124.93,61745.6,90986.51,89370.93,96174.0,94654.13,94158.33,101145.07,110020.65,113332.8,117610.33,121186.3
MT,112874.76,112881.2,112890.82,112850.85,112660.88,113307.34,115739.69,118534.18,121876.98,133578.39,146754.66,158623.16,161638.84,159981.5,191954.46,185693.64,185104.52,190307.06,194071.05,201175.14,210240.37,220322.18,238521.05,252144.92
NC,73821.9,78246.23,83300.44,89100.1,94801.21,99555.12,104448.64,111388.21,121116.71,140823.2,161390.57,169065.09,165806.39,157661.06,152058.8,143977.1,141467.31,143471.18,147675.0,151764.3,159399.98,167803.03,177936.77,187913.65
ND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51332.31,100170.19,106614.1,109082.69,109322.44,116958.65,120364.1,123934.94,135917.31,146922.12,159012.5,169462.24,178020.83,180633.97,183263.94
NE,59219.39,61030.84,62708.5,65383.99,69213.07,71754.41,74647.39,80516.18,88751.63,101378.76,102355.72,105538.4,104350.33,106917.16,113156.41,110110.62,113213.56,117002.45,121534.15,127671.41,136125.85,145102.12,156663.07,165149.51
NH,103423.46,106423.38,113287.57,123381.48,137904.37,156498.46,177701.68,203210.85,226362.08,249766.14,254105.78,249031.17,234757.67,217469.14,211997.27,201993.08,201995.72,206656.97,213966.8,220824.38,230476.77,245439.11,263354.98,275180.82
NJ,166303.04,169001.44,175979.76,188601.76,208681.83,233581.68,264012.19,304269.26,347122.09,398960.19,433207.23,426039.83,400309.9,367767.4,353128.16,333555.47,321492.65,327459.82,338653.48,342732.44,348011.63,365533.16,384895.93,392726.68
